URL;Kod odpowiedzi;Wykryto;Kategoria;Platforma;Ostatnie indeksowanie
https://wgn.pl/artykuly/aktualnosci/10959;404;18-10-15;Nie znaleziono;Wersja na komputery;18-10-15
https://wgn.pl/oferta/alboonaj@gmail.com;404;18-10-10;Nie znaleziono;Wersja na komputery;18-10-10
https://wgn.pl/artykuly/ze-swiata-nieruchomosci/16864;404;18-10-20;Nie znaleziono;Wersja na komputery;18-10-20
https://wgn.pl/artykuly/aktualnosci/10111;404;18-10-21;Nie znaleziono;Wersja na komputery;18-10-21
https://wgn.pl/artykuly/ze-swiata-nieruchomosci/18901;404;18-10-20;Nie znaleziono;Wersja na komputery;18-10-20
https://wgn.pl/artykuly/aktualnosci/10065;404;18-11-08;Nie znaleziono;Wersja na komputery;18-11-08
https://wgn.pl/artykuly/ze-swiata-nieruchomosci/18407;404;18-10-20;Nie znaleziono;Wersja na komputery;18-10-20
https://wgn.pl/artykuly/ze-swiata-nieruchomosci/16968;404;18-10-12;Nie znaleziono;Wersja na komputery;18-10-12
https://wgn.pl/artykuly/aktualnosci/13125;404;18-10-23;Nie znaleziono;Wersja na komputery;18-10-23
https://wgn.pl/artykuly/aktualnosci/11818;404;18-11-08;Nie znaleziono;Wersja na komputery;18-11-08
https://wgn.pl/sprzedaz/dzialka//;404;18-11-08;Nie znaleziono;Wersja na komputery;18-11-08
https://wgn.pl/artykuly/ze-swiata-nieruchomosci/19501;404;18-10-14;Nie znaleziono;Wersja na komputery;18-10-14
https://wgn.pl/artykuly/aktualnosci/10035;404;18-10-09;Nie znaleziono;Wersja na komputery;18-10-09
https://wgn.pl/artykuly/aktualnosci/10581;404;18-10-21;Nie znaleziono;Wersja na komputery;18-10-21
https://wgn.pl/artykuly/aktualnosci/9456;404;18-10-23;Nie znaleziono;Wersja na komputery;18-10-23
https://wgn.pl/artykuly/aktualnosci/11294;404;18-11-18;Nie znaleziono;Wersja na komputery;18-11-18
https://wgn.pl/artykuly/warto-wiedziec/5047;404;18-10-13;Nie znaleziono;Wersja na komputery;18-10-13
https://wgn.pl/artykuly/aktualnosci/10467;404;18-11-06;Nie znaleziono;Wersja na komputery;18-11-06
https://wgn.pl/artykuly/aktualnosci/12475;404;18-10-16;Nie znaleziono;Wersja na komputery;18-10-16
https://wgn.pl/artykuly/aktualnosci/11001;404;18-11-08;Nie znaleziono;Wersja na komputery;18-11-08
https://wgn.pl/artykuly/aktualnosci/12445;404;18-10-20;Nie znaleziono;Wersja na komputery;18-10-20
https://wgn.pl/artykuly/aktualnosci/11978;404;18-11-08;Nie znaleziono;Wersja na komputery;18-11-08
https://wgn.pl/artykuly/ze-swiata-nieruchomosci/16414;404;18-10-12;Nie znaleziono;Wersja na komputery;18-10-12
https://wgn.pl/artykuly/ze-swiata-nieruchomosci/16291;404;18-10-23;Nie znaleziono;Wersja na komputery;18-10-23
https://wgn.pl/sprzedaz/dom//;404;18-11-08;Nie znaleziono;Wersja na komputery;18-11-08
https://wgn.pl/artykuly/aktualnosci/11177;404;18-10-28;Nie znaleziono;Wersja na komputery;18-10-28
https://wgn.pl/artykuly/ze-swiata-nieruchomosci/18644;404;18-10-12;Nie znaleziono;Wersja na komputery;18-10-12
https://wgn.pl/artykuly/aktualnosci/12924;404;18-11-08;Nie znaleziono;Wersja na komputery;18-11-08
https://wgn.pl/artykuly/ze-swiata-nieruchomosci/16805;404;18-10-20;Nie znaleziono;Wersja na komputery;18-10-20
