ID;NR;WOJ;POW;MI;NAZWA;ERR
1450;SL010-2861;dolnośląskie;kłodzki;Długopole Zdrój;Lokal gastronomiczny na sprzedaż Długopole Zdrój;miasto (Długopole Zdrój) znalezionej lokazizacji nie pasuje (Długopole-Zdrój) - lokalizacja dolnośląskie, kłodzki, Długopole Zdrój
1451;SO010-2860;dolnośląskie;kłodzki;Długopole Zdrój;Budynek usługowy na sprzedaż Długopole Zdrój;miasto (Długopole Zdrój) znalezionej lokazizacji nie pasuje (Długopole-Zdrój) - lokalizacja dolnośląskie, kłodzki, Długopole Zdrój
1561;SG146-839;lubuskie;gorzowski;Gorzów Wielkopolski;Grunt inwestycyjny na sprzedaż Gorzów Wielkopolski;brak lokalizacji lubuskie, gorzowski, Gorzów Wielkopolski
1717;SD102-2917;warmińsko-mazurskie;olsztyński;Wilimowo;Dom wolnostojący na sprzedaż Wilimowo;brak lokalizacji warmińsko-mazurskie, olsztyński, Wilimowo
2367;SG144-97;podlaskie;suwalski;Ateny;Grunt leśny na sprzedaż Ateny;brak lokalizacji podlaskie, suwalski, Ateny
2571;SG079-1834;warmińsko-mazurskie;olecki;Kukówko;Działka budowlana na sprzedaż Kukówko;brak lokalizacji warmińsko-mazurskie, olecki, Kukówko
2841;SG146-692;lubuskie;gorzowski;Gorzów Wielkopolski;Grunt inwestycyjny na sprzedaż Gorzów Wielkopolski;brak lokalizacji lubuskie, gorzowski, Gorzów Wielkopolski
2888;SG122-1326;łódzkie;brzeziński;Rogów;na sprzedaż Działka Rogów;miasto (Rogów) znalezionej lokazizacji nie pasuje (Rogów-Wieś) - lokalizacja łódzkie, brzeziński, Rogów
3104;SG144-87;podlaskie;suwalski;Gawrych-Ruda;Działka budowlana na sprzedaż Gawrych-Ruda, Gawrych Ruda;miasto (Gawrych-Ruda) znalezionej lokazizacji nie pasuje (Gawrych Ruda) - lokalizacja podlaskie, suwalski, Gawrych-Ruda
3750;SG102-2672;warmińsko-mazurskie;olsztyński;Trękusek;Grunt rolny na sprzedaż Trękusek, Trekusek;brak lokalizacji warmińsko-mazurskie, olsztyński, Trękusek
4047;SG045-292;łódzkie;Wieluń;Sieniec;Grunt inwestycyjny na sprzedaż Sieniec;brak lokalizacji łódzkie, Wieluń, Sieniec
4268;WL144-438;podlaskie;suwalski;Suwałki;Lokal usługowy na wynajem Suwałki, Centrum;brak lokalizacji podlaskie, suwalski, Suwałki
4366;SG144-199;podlaskie;suwalski;Walne;Działka budowlana na sprzedaż Walne, gm. Nowinka;brak lokalizacji podlaskie, suwalski, Walne
4430;SG015-6116;dolnośląskie;jeleniogórski;Jelenia Góra;Grunt inwestycyjny na sprzedaż Jelenia Góra;brak lokalizacji dolnośląskie, jeleniogórski, Jelenia Góra
4753;SD037-1688;kujawsko-pomorskie;inowrocławski;okolice Inowrocławia;Dom wolnostojący na sprzedaż okolice Inowrocławia;brak lokalizacji kujawsko-pomorskie, inowrocławski, okolice Inowrocławia
4989;WL146-493;wielkopolskie;leszczyński;Leszno;Lokal handlowy na wynajem Leszno;brak lokalizacji wielkopolskie, leszczyński, Leszno
5572;SG154-548;kujawsko-pomorskie;brodnicki;Anielewo;Działka budowlana na sprzedaż Anielewo;brak lokalizacji kujawsko-pomorskie, brodnicki, Anielewo
5895;SO147-438;warmińsko-mazurskie;kętrzyński;Stachowizna;Ośrodek wypoczynkowy na sprzedaż Stachowizna;brak lokalizacji warmińsko-mazurskie, kętrzyński, Stachowizna
6091;SG084-3448;łódzkie;piotrkowski;Kolonia Raków;Grunt inwestycyjny na sprzedaż Kolonia Raków;brak lokalizacji łódzkie, piotrkowski, Kolonia Raków
7058;SG045-847;łódzkie;wieluński;Strugi Pątnowskie;Grunt rolny na sprzedaż Strugi Pątnowskie;brak lokalizacji łódzkie, wieluński, Strugi Pątnowskie
7255;SG102-2793;warmińsko-mazurskie;ostródzki;Cibory;Działka budowlana na sprzedaż Cibory, Kajkowo;brak lokalizacji warmińsko-mazurskie, ostródzki, Cibory
7427;SG084-3345;łódzkie;piotrkowski;Raków;Grunt rolny na sprzedaż Raków, Raków Kolonia;miasto (Raków) znalezionej lokazizacji nie pasuje (Raków Duży) - lokalizacja łódzkie, piotrkowski, Raków
7765;SD144-308;podlaskie;suwalski;Tobołowo;Dom bliźniak na sprzedaż Tobołowo, gm. Nowinka;brak lokalizacji podlaskie, suwalski, Tobołowo
8048;SG084-3355;łódzkie;piotrkowski;Kolonia Raków;Grunt inwestycyjny na sprzedaż Kolonia Raków;brak lokalizacji łódzkie, piotrkowski, Kolonia Raków
8684;SD084-3716;łódzkie;piotrkowski;Piotrków Trybunalski;Dom wolnostojący na sprzedaż Piotrków Trybunalski, Uszczyn;brak lokalizacji łódzkie, piotrkowski, Piotrków Trybunalski
8757;SD144-459;podlaskie;suwalski;Bryzgiel;Dom wolnostojący na sprzedaż Bryzgiel, gm. Nowinka;brak lokalizacji podlaskie, suwalski, Bryzgiel
8787;SD094-431;dolnośląskie;legnicki;Legnica;Dom wolnostojący na sprzedaż Legnica, Rzeszotary;brak lokalizacji dolnośląskie, legnicki, Legnica
10004;SG147-254;warmińsko-mazurskie;węgorzewski;Łabapa;na sprzedaż Działka Łabapa;brak lokalizacji warmińsko-mazurskie, węgorzewski, Łabapa
10012;SG067-444;zachodniopomorskie;sławieński;Glęźnowo;Grunt rolny na sprzedaż Glęźnowo, Glęźnówko;miasto (Glęźnowo) znalezionej lokazizacji nie pasuje (Gleźnowo) - lokalizacja zachodniopomorskie, sławieński, Glęźnowo
10092;SG122-1301;łódzkie;zgierski;Modrzew;Działka budowlana na sprzedaż Modrzew;brak lokalizacji łódzkie, zgierski, Modrzew
10561;SG045-693;śląskie;częstochowski;Częstochowa;Grunt rolny na sprzedaż Częstochowa;brak lokalizacji śląskie, częstochowski, Częstochowa
10652;SG010-2576;dolnośląskie;wałbrzyski;Wałbrzych;Grunt inwestycyjny na sprzedaż Wałbrzych, ok. centrum;brak lokalizacji dolnośląskie, wałbrzyski, Wałbrzych
10658;SG053-878;małopolskie;Tarnów (grodzki);Tarnów/Zawada;Działka budowlana na sprzedaż Tarnów/Zawada;miasto (Tarnów/Zawada) znalezionej lokazizacji nie pasuje (Tarnów) - lokalizacja małopolskie, Tarnów/Zawada
10659;SG053-877;małopolskie;Tarnów (grodzki);Tarnów/Zawada;Działka budowlana na sprzedaż Tarnów/Zawada;miasto (Tarnów/Zawada) znalezionej lokazizacji nie pasuje (Tarnów) - lokalizacja małopolskie, Tarnów/Zawada
11190;SL146-541;wielkopolskie;leszczyński;Leszno;Lokal biurowy na sprzedaż Leszno;brak lokalizacji wielkopolskie, leszczyński, Leszno
12193;SG144-171;podlaskie;suwalski;Suwałki;Grunt inwestycyjny na sprzedaż Suwałki, Północ;brak lokalizacji podlaskie, suwalski, Suwałki
12194;SG045-557;dolnośląskie;wrocławski;Pustków Żurowski;Grunt inwestycyjny na sprzedaż Pustków Żurowski;brak lokalizacji dolnośląskie, wrocławski, Pustków Żurowski
